name,종별코드명,doctors,lon,lat
SK우리들정형외과의원,의원,1,127.012925,37.6199404
SM미성형외과의원,의원,1,126.8479315,35.1474896
SNU하안과의원,의원,1,127.0651817,37.6152426
SOK 속편한내과의원,의원,4,126.7458612,37.7113745
SOK속편한내과의원,의원,3,126.7812801,37.4834812
SOK수지속편한내과의원,의원,2,127.0918191,37.3359633
S나비의원,의원,1,129.3648568,36.0317022
S라인V라인의원,의원,1,127.1081762,36.8129631
S보톡성형외과의원,의원,1,129.0573382,35.1559654
S성형외과의원,의원,1,128.5937488,35.8707162
S성형외과의원,의원,1,128.6865855,35.2221112
S아이니의원,의원,1,126.8934458,37.4903971
The(더)공감 정신건강의학과의원,의원,2,127.0080449,37.3031483
THE밝은안과의원,의원,1,129.0892907,35.1353584
The서울아산내과의원,의원,1,127.1838891,37.7192109
the속시원내과의원,의원,1,128.9707449,35.0572853
the큰병원,병원,6,128.6487951,35.2396798
W(더블유)여성병원,병원,18,126.6811652,37.4509653
W365메디컬의원,의원,1,129.1126448,35.1337125
WE(더블유이)의원,의원,1,126.9039335,37.5331573
WE(위)조은내과의원,의원,2,127.1612653,37.358525
WE병원,병원,1,126.4441678,33.2860122
WIP성형외과의원,의원,2,127.0276759,37.0366002
W성형외과의원,의원,1,129.0556427,35.1580254
W여성병원,병원,9,128.6339412,35.8708049
W여성외과의원,의원,1,127.1091449,36.8161757
W정신건강의학과의원,의원,1,127.1100665,37.3965078
YB안과의원,의원,1,127.032195,37.2637736
YES성형외과의원,의원,1,127.1234385,37.3860699
yes의원,의원,1,126.8477681,35.1554918
YK(와이케이)안과의원,의원,1,127.0500365,37.5183513
YS김안과의원,의원,1,127.7402992,37.8567396
Y정신건강의학과의원,의원,1,127.0713357,37.201082
가가성형외과의원,의원,1,128.5954218,35.8661065
가강보건진료소,보건진료소,0,126.3724636,36.7538461
가거도보건지소,보건지소,4,125.1266345,34.0523783
가경수피부과의원,의원,1,127.4440983,36.6168426
가경신경외과의원,의원,1,127.4300781,36.6248809
가계보건진료소,보건진료소,0,128.0828862,35.3559982
가곡보건지소,보건지소,1,129.2051817,37.1497625
가곡보건진료소,보건진료소,0,128.5261809,36.573022
가까운내과의원,의원,3,129.0901269,35.2468711
가까운의원,의원,1,126.761361,37.3480707
가나다소아청소년과의원,의원,1,126.6527822,36.8880145
가나다소아청소년과의원,의원,1,,
가나성형외과의원,의원,1,126.7231052,37.4943913
